priority_rank,tier,score,words,clicks,impressions,ctr,position,title,url,path
1,A1,1368.4,359,28,233,12.02,8.04,شركة تركيب وصيانة شفاطات مطابخ في عجمان,https://www.rukn-eltatawer.com/kitchen-hood-installation-ajman/,/kitchen-hood-installation-ajman/
2,A1,1306.5,341,18,385,4.68,6.95,شركة زرع نخيل وأشجار في أبوظبي,https://www.rukn-eltatawer.com/palm-tree-planting-abu-dhabi/,/palm-tree-planting-abu-dhabi/
3,A1,1212.2,349,55,126,43.65,4.29,شركة تركيب شبكات ري حديثة في العين,https://www.rukn-eltatawer.com/modern-irrigation-al-ain/,/modern-irrigation-al-ain/
4,A1,1048.9,365,13,219,5.94,7.72,شركة تركيب أنظمة طاقة شمسية في عجمان,https://www.rukn-eltatawer.com/solar-systems-installation-ajman/,/solar-systems-installation-ajman/
5,A1,1048.2,311,1,664,0.15,12.99,شركة نقل أثاث داخلي في الفجيرة,https://www.rukn-eltatawer.com/indoor-moving-fujairah/,/indoor-moving-fujairah/
6,A1,1004.1,352,35,146,23.97,5.36,شركة تركيب شبكات ري حديثة في دبي,https://www.rukn-eltatawer.com/modern-irrigation-dubai/,/modern-irrigation-dubai/
7,A1,803.2,341,9,298,3.02,8.22,شركة صيانة أبواب أوتوماتيكية في عجمان,https://www.rukn-eltatawer.com/automatic-door-maintenance-ajman/,/automatic-door-maintenance-ajman/
8,A1,720.5,374,12,196,6.12,9.29,شركة تركيب أنظمة طاقة شمسية في أبوظبي,https://www.rukn-eltatawer.com/solar-systems-installation-abu-dhabi/,/solar-systems-installation-abu-dhabi/
9,A1,713.0,323,6,255,2.35,9.18,شركة صيانة أفران في الفجيرة,https://www.rukn-eltatawer.com/oven-repair-fujairah/,/oven-repair-fujairah/
10,A1,706.3,479,0,514,0.0,14.58,شركة غسيل سيارات بالبخار في أبوظبي – ركن التطور,https://www.rukn-eltatawer.com/steam-car-wash-abu-dhabi/,/steam-car-wash-abu-dhabi/
11,A1,656.4,359,13,98,13.27,10.24,شركة تركيب وصيانة شفاطات مطابخ في العين,https://www.rukn-eltatawer.com/kitchen-hood-installation-al-ain/,/kitchen-hood-installation-al-ain/
12,A1,613.4,354,12,77,15.58,7.75,شركة تنظيف المداخن والشفاطات في أبوظبي,https://www.rukn-eltatawer.com/chimney-cleaning-abu-dhabi/,/chimney-cleaning-abu-dhabi/
13,A1,545.5,405,9,225,4.0,7.52,شركة تركيب حجر طبيعي وصناعي في العين,https://www.rukn-eltatawer.com/stone-installation-al-ain/,/stone-installation-al-ain/
14,A1,471.2,0,7,186,3.76,8.12,/qa/shrkh-trkyb-antrlwk-fy-qtr/,https://www.rukn-eltatawer.com/qa/shrkh-trkyb-antrlwk-fy-qtr/,/qa/shrkh-trkyb-antrlwk-fy-qtr/
15,A1,459.7,364,9,132,6.82,5.95,شركة تركيب أنظمة طاقة شمسية في الشارقة,https://www.rukn-eltatawer.com/solar-systems-installation-sharjah/,/solar-systems-installation-sharjah/
16,A1,458.2,323,7,157,4.46,11.33,شركة صيانة غسالات في الفجيرة,https://www.rukn-eltatawer.com/washing-machine-repair-fujairah/,/washing-machine-repair-fujairah/
17,A1,449.0,359,5,184,2.72,12.11,شركة تركيب انترلوك في دبي,https://www.rukn-eltatawer.com/interlock-installation-dubai/,/interlock-installation-dubai/
18,A1,416.3,332,6,122,4.92,13.5,شركة تنسيق حدائق في رأس الخيمة,https://www.rukn-eltatawer.com/landscaping-ras-al-khaimah/,/landscaping-ras-al-khaimah/
19,A1,381.4,363,1,171,0.58,18.58,شركة تنظيف كراجات ومواقف سيارات في الفجيرة,https://www.rukn-eltatawer.com/garage-cleaning-fujairah/,/garage-cleaning-fujairah/
20,A1,381.2,341,5,108,4.63,11.6,شركة صيانة كاميرات مراقبة في العين,https://www.rukn-eltatawer.com/cctv-maintenance-al-ain/,/cctv-maintenance-al-ain/
21,A1,349.9,399,2,142,1.41,9.96,شركة تركيب أرضيات فينيل في أبوظبي,https://www.rukn-eltatawer.com/vinyl-flooring-abu-dhabi/,/vinyl-flooring-abu-dhabi/
22,A1,336.0,345,2,100,2.0,28.87,شركة تنظيف المداخن والشفاطات في الفجيرة,https://www.rukn-eltatawer.com/chimney-cleaning-fujairah/,/chimney-cleaning-fujairah/
23,A1,334.6,0,2,140,1.43,4.02,/qa/about/,https://www.rukn-eltatawer.com/qa/about/,/qa/about/
24,A1,329.3,0,1,156,0.64,4.57,/faq/,https://www.rukn-eltatawer.com/faq/,/faq/
25,A1,309.9,378,2,101,1.98,11.83,شركة تبطين وصيانة خزانات مياه في رأس الخيمة,https://www.rukn-eltatawer.com/tank-lining-maintenance-ras-al-khaimah/,/tank-lining-maintenance-ras-al-khaimah/
26,B1,1541.2,770,43,2310,1.86,13.42,شركة تنظيف منازل في عجمان,https://www.rukn-eltatawer.com/house-cleaning-company-in-ajman/,/house-cleaning-company-in-ajman/
27,B2,1539.7,1089,91,6776,1.34,9.49,شركة تنظيف فلل رأس الخيمة,https://www.rukn-eltatawer.com/ras-al-khaimah-villas-cleaning-company/,/ras-al-khaimah-villas-cleaning-company/
28,B1,1402.7,902,39,2290,1.7,11.09,شركة تركيب جبس بورد في دبي,https://www.rukn-eltatawer.com/gypsum-board-installation-in-dubai/,/gypsum-board-installation-in-dubai/
29,B1,1279.3,941,40,2764,1.45,6.37,شركة تركيب جبس بورد في أبوظبي,https://www.rukn-eltatawer.com/installing-gypsum-boards-in-abu-dhabi/,/installing-gypsum-boards-in-abu-dhabi/
30,B2,875.4,1077,14,1728,0.81,20.56,شركة تركيب عازل الصوت أبوظبي,https://www.rukn-eltatawer.com/abu-dhabi-soundproofing-installation-company/,/abu-dhabi-soundproofing-installation-company/
31,B2,875.1,1075,164,2205,7.44,9.8,شركة تنسيق حدائق أبوظبي,https://www.rukn-eltatawer.com/abu-dhabi-landscaping-company/,/abu-dhabi-landscaping-company/
32,B2,862.9,1122,149,2886,5.16,7.6,شركة تنسيق حدائق العين,https://www.rukn-eltatawer.com/al-ain-landscaping-company/,/al-ain-landscaping-company/
33,B2,823.7,1132,194,1864,10.41,8.64,شركة تنسيق حدائق دبي,https://www.rukn-eltatawer.com/landscaping-company-in-dubai/,/landscaping-company-in-dubai/
34,B2,820.7,1104,170,1829,9.29,9.73,شركة صيانة عامة دبي,https://www.rukn-eltatawer.com/general-maintenance-company-in-dubai/,/general-maintenance-company-in-dubai/
35,B2,807.9,1119,56,3542,1.58,6.74,شركة تنظيف كنب العين,https://www.rukn-eltatawer.com/al-ain-sofa-cleaning-company/,/al-ain-sofa-cleaning-company/
36,B2,787.3,1124,17,2152,0.79,13.15,شركة تنظيف فلل دبي,https://www.rukn-eltatawer.com/dubai-villas-cleaning-company/,/dubai-villas-cleaning-company/
37,B2,774.0,1116,21,1860,1.13,15.1,شركة تنظيف مكيفات في رأس الخيمة,https://www.rukn-eltatawer.com/air-conditioner-cleaning-company-in-ras-al-khaimah/,/air-conditioner-cleaning-company-in-ras-al-khaimah/
38,B2,724.1,1076,15,2399,0.63,9.9,شركة تنظيف سجاد الشارقة,https://www.rukn-eltatawer.com/sharjah-carpet-cleaning-company/,/sharjah-carpet-cleaning-company/
39,B2,677.4,1057,39,1751,2.23,11.95,شركة تنظيف كنب أبوظبي,https://www.rukn-eltatawer.com/abu-dhabi-sofa-cleaning-company/,/abu-dhabi-sofa-cleaning-company/
40,B2,674.9,1065,6,1573,0.38,15.53,شركة تركيب عازل الصوت دبي,https://www.rukn-eltatawer.com/dubai-soundproofing-installation-company/,/dubai-soundproofing-installation-company/
41,B2,654.3,1173,19,1820,1.04,11.49,شركة إنشاء وصيانة مسابح الشارقة,https://www.rukn-eltatawer.com/swimming-pools-company-in-sharjah/,/swimming-pools-company-in-sharjah/
42,B2,647.0,1174,25,2201,1.14,8.52,شركة تنظيف كنب الشارقة,https://www.rukn-eltatawer.com/sharjah-sofa-cleaning-company/,/sharjah-sofa-cleaning-company/
43,B2,623.0,1135,41,2101,1.95,7.79,شركة تركيب جبس بورد في الشارقة,https://www.rukn-eltatawer.com/sharjah-gypsum-board-installation-company/,/sharjah-gypsum-board-installation-company/
44,B2,605.7,1067,14,2420,0.58,6.76,شركة تنظيف خزانات دبي,https://www.rukn-eltatawer.com/dubai-tank-cleaning-company/,/dubai-tank-cleaning-company/
45,B2,586.4,1046,42,1769,2.37,8.45,شركة صبغ في الشارقة,https://www.rukn-eltatawer.com/dyeing-in-sharjah/,/dyeing-in-sharjah/
46,B2,575.0,1099,23,1857,1.24,8.34,شركة تنظيف خزانات أبوظبي,https://www.rukn-eltatawer.com/abu-dhabi-tank-cleaning-company/,/abu-dhabi-tank-cleaning-company/
47,C1,891.2,1467,30,2679,1.12,12.08,شركة تركيب طارد حمام في الشارقة,https://www.rukn-eltatawer.com/sharjah-pigeons-repellent-installation-company/,/sharjah-pigeons-repellent-installation-company/
48,C1,825.8,1203,111,2567,4.32,8.87,شركة صيانة عامة الشارقة,https://www.rukn-eltatawer.com/general-maintenance-company-sharjah/,/general-maintenance-company-sharjah/
49,C1,792.8,1331,53,3071,1.73,7.81,شركة تنظيف منازل في الفجيرة,https://www.rukn-eltatawer.com/house-cleaning-company-in-fujairah/,/house-cleaning-company-in-fujairah/
50,C1,661.0,1242,24,2983,0.8,5.9,شركة تنظيف كنب عجمان,https://www.rukn-eltatawer.com/ajman-sofa-cleaning-company/,/ajman-sofa-cleaning-company/
51,C2,656.1,1385,16,1846,0.87,11.49,شركة تنظيف مكيفات في عجمان,https://www.rukn-eltatawer.com/air-conditioner-cleaning-company-in-ajman/,/air-conditioner-cleaning-company-in-ajman/
52,C2,583.4,1243,16,1537,1.04,11.59,شركة تركيب طارد حمام في دبي,https://www.rukn-eltatawer.com/dubai-pigeons-repellent-installation/,/dubai-pigeons-repellent-installation/
53,C2,583.4,1328,13,1746,0.74,9.91,شركة تنظيف فلل أم القيوين,https://www.rukn-eltatawer.com/umm-al-quwain-villas-cleaning-company/,/umm-al-quwain-villas-cleaning-company/
54,C2,354.0,1772,40,2643,1.51,5.04,شركة مكافحة حشرات في الفجيرة,https://www.rukn-eltatawer.com/pest-control-company-in-fujairah/,/pest-control-company-in-fujairah/
55,C2,349.3,1779,38,2294,1.66,5.75,شركة مكافحة حشرات في أم القيوين,https://www.rukn-eltatawer.com/insect-control-in-umm-al-quwain/,/insect-control-in-umm-al-quwain/
